GCC,Clang,Polygeist + MLIR,MLIR-DaCe
2966,2812,3095,2490
2923,2793,3067,2560
2971,2829,3091,2471
2977,2829,3060,2475
2946,2822,3072,2466
2987,2864,3062,2491
2945,2834,3032,2472
2961,2788,3045,2479
2935,2855,3057,2470
2960,2849,3051,2484
2956,2848,3053,2466
