GCC,Clang,Polygeist + MLIR,MLIR-DaCe
0.009452,0.008404,0.017250,0.029002
0.009288,0.008404,0.017265,0.023543
0.009361,0.008414,0.017250,0.023538
0.009478,0.008407,0.017240,0.023527
0.009319,0.008406,0.017256,0.023524
0.009426,0.008401,0.017271,0.023542
0.009307,0.008401,0.017256,0.023544
0.009393,0.008404,0.017279,0.023536
0.009290,0.008456,0.017246,0.02355
0.009377,0.008412,0.017258,0.023529
