GCC,Clang,Polygeist + MLIR,MLIR-DaCe
2969,2923,3974,2486
2922,2933,3925,2451
2922,2930,3936,2459
2929,2922,3947,2523
2912,2936,3913,2446
2912,2917,3933,2453
2967,2936,3915,2445
2945,2917,3924,2450
2993,2918,3916,2529
2930,2916,3911,2535
2923,2921,3916,2449
