GCC,Clang,Polygeist + MLIR,MLIR-DaCe
34,33,35,30
33,32,35,30
32,32,35,30
32,32,35,30
32,33,35,30
32,32,35,30
32,33,35,31
32,33,35,30
32,32,35,30
32,32,35,30
32,32,34,30
