GCC,Clang,Polygeist + MLIR,MLIR-DaCe
2.607185,2.606280,5.319327,2.557626
2.607113,2.605159,5.319782,2.554678
2.612840,2.616334,5.319638,2.55539
2.614137,2.616563,5.321135,2.554729
2.609725,2.613502,5.319120,2.551781
2.607286,2.605209,5.321867,2.549972
2.603031,2.604939,5.320089,2.548003
2.609694,2.616814,5.320173,2.549907
2.603431,2.605507,5.319107,2.548499
2.604585,2.590974,5.319556,2.54995
