GCC,Clang,Polygeist + MLIR,MLIR-DaCe
0.261110,0.251694,0.416718,0.366337
0.263324,0.248215,0.414812,0.317291
0.265371,0.250934,0.416390,0.318711
0.263176,0.249362,0.415140,0.317288
0.265389,0.251521,0.416618,0.318646
0.263493,0.249511,0.415403,0.317262
0.265761,0.251579,0.416519,0.31863
0.262858,0.249675,0.415291,0.317155
0.263510,0.251368,0.416491,0.318642
0.265749,0.249491,0.414882,0.317436
