GCC,Clang,Polygeist + MLIR,MLIR-DaCe
27.071549,27.071061,30.639134,27.081393
27.070087,27.069480,30.636239,27.076897
27.068721,27.068761,30.635169,27.077056
27.069507,27.070998,30.639590,27.074482
27.067718,27.069783,30.636047,27.069692
27.065156,27.068828,30.636565,27.070304
27.065439,27.068782,30.638346,27.069351
27.064907,27.070243,30.635682,27.069194
27.063676,27.070027,30.636622,27.069926
27.066008,27.069385,30.637342,27.069922
