GCC,G++,Clang,Clang++,MLIR,SDFG
20488,19102,18758,20401,24858,20581
18049,18098,17729,17689,22362,18409
18126,18121,17717,17710,22310,18480
18134,18187,17898,17642,22346,18405
18171,18114,17773,17834,22409,18499
18063,18268,17770,17771,22432,18416
18077,18208,17835,17832,22399,18427
18260,18131,17695,17904,22236,18417
18012,18216,17748,17785,22277,20946
18071,18164,17724,17686,22427,20810
18131,18122,17788,17742,22378,18436
