GCC,G++,Clang,Clang++,MLIR,SDFG
3733,3539,3526,3787,5224,1933
3591,3678,3716,3916,6072,1783
3768,3503,3501,3643,4763,1796
3605,3548,3473,3502,6128,1864
3412,3515,3485,3702,4856,1785
3566,3610,3560,3886,5056,1978
3480,3837,3532,3535,6357,1933
3515,3517,3524,3574,5448,1781
3846,3858,3463,3583,4860,1788
3463,3502,3545,4241,6083,1898
3580,3631,3536,3989,5538,1924
