GCC,G++,Clang,Clang++,MLIR,SDFG
1986,4410,3623,2006,3210,4122
5035,4319,3415,4513,4565,1968
4468,4446,3214,4384,4403,3500
2405,3589,4417,2896,4381,3052
4591,2626,2109,4139,3731,4107
3475,4156,4472,4542,2823,3032
3466,2395,3461,2840,4415,4051
4583,3574,2107,3489,3867,3690
3433,3524,4413,3951,4344,4019
2607,2491,3629,4439,4715,2095
4555,2751,3535,3895,3809,3113
