GCC,G++,Clang,Clang++,MLIR,SDFG
11189,11192,10058,9999,12044,12170
9288,9604,10240,10181,12486,11148
9392,11153,9259,9006,10706,12071
11281,11347,10153,10241,12379,11774
9374,11167,10465,10546,12264,11684
11319,11216,10180,10199,11970,11645
11519,9561,10497,10397,12118,12451
10550,11168,10244,10158,10629,11063
11279,11256,10169,8581,12215,11844
11299,11283,10019,10604,11140,11178
11522,11579,10335,10291,12097,11931
