GCC,G++,Clang,Clang++,MLIR,SDFG
14,12,12,11,19,7
9,8,8,8,11,9
8,8,8,9,12,5
9,8,8,8,11,5
8,7,8,11,11,9
8,8,8,9,16,5
8,8,9,9,17,5
9,8,8,8,12,9
9,8,8,8,13,5
9,8,8,9,13,5
8,8,7,8,12,8
