GCC,G++,Clang,Clang++,MLIR,SDFG
52718,48661,53058,52157,41548,52144
37110,53096,53142,50531,42737,52682
52747,52591,53069,51032,50885,42032
53938,52615,52440,50995,41224,52982
53602,52020,52976,51190,50259,40129
53370,53299,51319,51293,42674,52334
53373,52957,50354,51865,50419,49101
53651,53758,52555,52595,41278,52707
54412,54602,51516,52979,51091,48866
52736,53693,51655,52158,43048,52431
53662,53629,51992,52124,50065,40891
