GCC,Clang,Polygeist + MLIR,MLIR-DaCe
0.580000,0.002000,0.424000,0.087
0.530000,0.001000,0.425000,0.063
0.511000,0.001000,0.419000,0.048
0.507000,0.001000,0.415000,0.048
0.521000,0.002000,0.415000,0.048
0.518000,0.001000,0.417000,0.038
0.520000,0.002000,0.413000,0.048
0.508000,0.001000,0.424000,0.048
0.506000,0.001000,0.427000,0.048
0.517000,0.001000,0.421000,0.048
