GCC,Clang,Polygeist + MLIR,MLIR-DaCe
4.504232,2.039791,4.485048,3.85793
4.502746,2.032136,4.465887,3.857544
4.503332,2.023930,4.472548,3.857455
4.496030,2.111622,4.445434,3.857554
4.510958,2.049613,4.460012,3.858317
4.491865,2.031568,4.464542,3.856063
4.506508,2.032702,4.469575,3.856209
4.494863,2.030200,4.461481,3.856336
4.504594,2.050673,4.469106,3.856133
4.498734,2.031606,4.457471,3.85632
