GCC,Clang,Polygeist + MLIR,MLIR-DaCe
0.002336,0.000662,0.001441,0.002296
0.002340,0.000665,0.001446,0.002282
0.002335,0.000671,0.001445,0.002273
0.002337,0.000673,0.001464,0.002272
0.002334,0.000673,0.001443,0.002272
0.002335,0.000673,0.001445,0.002272
0.002335,0.000672,0.001443,0.002273
0.002336,0.000673,0.001442,0.002271
0.002335,0.000672,0.001441,0.002269
0.002337,0.000671,0.001445,0.00228
