GCC,G++,Clang,Clang++,MLIR,SDFG
2850,2874,2916,2898,4359,3274
2832,2877,2915,2932,4354,3312
2840,2871,2892,2939,4369,3302
2834,2874,2894,2912,4379,3278
2836,2882,2893,2944,4359,3320
2827,2909,2898,2931,4369,3306
2852,2882,2903,2933,4374,3324
2839,2882,2888,2918,4366,3282
2860,2905,2921,2920,4359,3319
2854,2896,2899,2939,4360,3311
2841,2912,2903,2921,4374,3334
