GCC,G++,Clang,Clang++,MLIR,SDFG
4332,4441,4341,4332,6880,4876
4319,4437,4355,4337,6890,4907
4346,4434,4322,4370,6869,4884
4331,4472,4336,4354,6902,4886
4354,4458,4352,4355,6889,4878
4350,4436,4352,4362,6892,4865
4345,4452,4350,4345,6879,4890
4332,4473,4331,4351,6903,4872
4353,4441,4368,4341,6887,4884
4357,4446,4359,4326,6895,4898
4347,4469,4359,4370,6891,4915
