GCC,G++,Clang,Clang++,MLIR,SDFG
3933,3928,3887,3903,6437,4664
3901,3931,3898,3918,6449,4640
3896,3939,3878,3914,6433,4618
3870,3953,3885,3924,6435,4612
3909,3939,3890,3903,6449,4624
3886,3944,3893,3923,6436,4619
3908,3941,3893,3906,6449,4642
3884,3928,3885,3912,6462,4615
3917,3936,3885,3880,6450,4638
3885,3950,3893,3925,6480,4629
3898,3939,3880,3893,6463,4640
