GCC,G++,Clang,Clang++,MLIR,SDFG
10056,10029,10870,10796,18282,
9986,10050,10858,10863,18292,
10039,10058,10878,10851,18231,
10016,10111,10906,10874,18236,
10022,10116,10869,10852,18311,
10028,10053,10909,10805,18267,
10062,10043,10886,10856,18230,
10030,10067,10831,10831,18259,
10077,10059,10889,10856,18343,
10107,10109,10851,10855,18342,
10022,10037,10879,10800,18303,
