GCC,G++,Clang,Clang++,MLIR,SDFG
49789,48333,31870,31924,34855,36973
49779,48381,31969,32031,34690,36445
49843,48354,31803,31977,34743,36805
49796,48331,31846,32095,34645,36885
49874,48391,31868,32097,34706,36808
49815,48390,31907,32121,34707,36893
49834,48370,31852,32050,34696,36544
49809,48353,31825,32000,34692,36923
49853,48349,31821,31980,34748,36694
49802,48320,31896,32004,34722,36772
49879,48408,31867,32051,34778,36586
